attempt,collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
0,14024704,9.1552734375e-05,0.00019073486328125,0.0
0,14155776,5.340576171875e-05,0.00025177001953125,0.0
0,14286848,0.0001068115234375,0.00028228759765625,0.0
0,14417920,9.918212890625e-05,0.0002593994140625,0.0
0,14548992,7.62939453125e-05,0.0002288818359375,0.0
0,14680064,0.0001068115234375,0.00023651123046875,0.0
0,14811136,8.392333984375e-05,0.00025177001953125,0.0
0,14942208,8.456678275602409e-05,0.0003037050545933735,0.0
0,15073280,7.62939453125e-05,0.00028228759765625,0.0
0,15204352,8.392333984375e-05,0.0001983642578125,0.0
0,15335424,0.00012969970703125,0.0002288818359375,0.0
0,15466496,0.0001373291015625,0.0002593994140625,0.0
0,15597568,9.1552734375e-05,0.00019073486328125,0.0
0,15728640,0.0001373291015625,0.00025177001953125,0.0
0,15859712,0.000152587890625,0.0001678466796875,0.0
0,15990784,8.971432605421687e-05,0.0002485528049698795,0.0
0,16121856,9.1552734375e-05,0.0001983642578125,0.0
0,16252928,9.918212890625e-05,0.0002593994140625,0.0
0,16384000,9.918212890625e-05,0.0002288818359375,0.0
0,16515072,0.0001220703125,0.000244140625,0.0
0,16646144,0.00014495849609375,0.00019073486328125,0.0
0,16777216,7.62939453125e-05,0.000213623046875,0.0
1,131072,6.103515625e-05,0.0,0.0
1,262144,0.0001678466796875,0.000335693359375,0.0
1,393216,9.1552734375e-05,0.00022125244140625,0.0
1,524288,8.392333984375e-05,0.00022125244140625,0.0
1,655360,0.00012969970703125,0.00029754638671875,0.0
1,786432,8.392333984375e-05,0.00026702880859375,0.0
1,917504,0.0001220703125,0.00020599365234375,0.0
1,1048576,0.0001220703125,0.00029754638671875,0.0
1,1179648,7.62939453125e-05,0.000213623046875,0.0
1,1310720,0.0001000094126506024,0.00025737716490963856,0.0
1,1441792,7.62939453125e-05,0.0001983642578125,0.0
1,1572864,9.918212890625e-05,0.000274658203125,0.0
1,1703936,8.392333984375e-05,0.0001983642578125,0.0
1,1835008,0.00011444091796875,0.0001983642578125,0.0
1,1966080,0.00016021728515625,0.0002593994140625,0.0
1,2097152,0.0001068115234375,0.00028228759765625,0.0
1,2228224,0.00011444091796875,0.0002593994140625,0.0
1,2359296,0.0001235410391566265,0.00029340996799698797,0.0
1,2490368,7.62939453125e-05,0.0002899169921875,0.0
1,2621440,0.00014495849609375,0.00025177001953125,0.0
1,2752512,9.1552734375e-05,0.0002593994140625,0.0
1,2883584,9.918212890625e-05,0.00028228759765625,0.0
1,3014656,0.00012969970703125,0.0002899169921875,0.0
1,3145728,0.000152587890625,0.000274658203125,0.0
1,3276800,6.866455078125e-05,0.000244140625,0.0
1,3407872,8.897896272590361e-05,0.00025517107492469877,0.0
1,3538944,0.00011444091796875,0.00019073486328125,0.0
1,3670016,0.0001220703125,0.00022125244140625,0.0
1,3801088,0.0001220703125,0.00025177001953125,0.0
1,3932160,0.0001220703125,0.00030517578125,0.0
1,4063232,0.00012969970703125,0.00026702880859375,0.0
1,4194304,0.00011444091796875,0.00023651123046875,0.0
1,4325376,0.00012969970703125,0.00023651123046875,0.0
1,4456448,8.677287274096385e-05,0.0002860563347138554,0.0
1,4587520,9.918212890625e-05,0.000244140625,0.0
1,4718592,0.000152587890625,0.00032806396484375,0.0
1,4849664,0.00012969970703125,0.0002899169921875,0.0
1,4980736,0.0001068115234375,0.00028228759765625,0.0
1,5111808,8.392333984375e-05,0.000335693359375,0.0
1,5242880,0.0001373291015625,0.000244140625,0.0
1,5373952,0.0001373291015625,0.0002593994140625,0.0
1,5505024,0.00011545204254518072,0.0002662015248493976,0.0
1,5636096,6.866455078125e-05,0.00028228759765625,0.0
1,5767168,0.0001068115234375,0.0002593994140625,0.0
1,5898240,0.00011444091796875,0.0002593994140625,0.0
1,6029312,6.866455078125e-05,0.00031280517578125,0.0
1,6160384,0.000152587890625,0.00030517578125,0.0
1,6291456,9.918212890625e-05,0.00029754638671875,0.0
1,6422528,0.00014495849609375,0.0003509521484375,0.0
1,6553600,0.00013604221573795182,0.000308117234563253,0.0
1,6684672,9.918212890625e-05,0.00029754638671875,0.0
1,6815744,0.0001220703125,0.0002593994140625,0.0
1,6946816,8.392333984375e-05,0.00025177001953125,0.0
1,7077888,7.62939453125e-05,0.000274658203125,0.0
1,7208960,9.918212890625e-05,0.00032806396484375,0.0
1,7340032,0.00018310546875,0.000244140625,0.0
1,7471104,0.00012969970703125,0.000244140625,0.0
1,7602176,0.00016472138554216866,0.0003198830478162651,0.0
1,7733248,0.0001220703125,0.00032806396484375,0.0
1,7864320,0.0001678466796875,0.00032806396484375,0.0
1,7995392,9.1552734375e-05,0.00026702880859375,0.0
1,8126464,0.00016021728515625,0.0002899169921875,0.0
1,8257536,0.00017547607421875,0.0002899169921875,0.0
1,8388608,9.918212890625e-05,0.00028228759765625,0.0
1,8519680,0.00014495849609375,0.0002593994140625,0.0
1,8650752,0.00017722256212349398,0.0002809087914156627,0.0
1,8781824,0.0001068115234375,0.0003204345703125,0.0
1,8912896,0.0001983642578125,0.0002593994140625,0.0
1,9043968,0.000152587890625,0.00026702880859375,0.0
1,9175040,0.00012969970703125,0.00026702880859375,0.0
1,9306112,0.00017547607421875,0.0002899169921875,0.0
1,9437184,0.0001678466796875,0.0001983642578125,0.0
1,9568256,0.000152587890625,0.00026702880859375,0.0
1,9699328,0.00015074948230421687,0.00034047322100903615,0.0
1,9830400,7.62939453125e-05,0.00025177001953125,0.0
1,9961472,0.00012969970703125,0.00030517578125,0.0
1,10092544,0.0001068115234375,0.00031280517578125,0.0
1,10223616,0.00017547607421875,0.0003509521484375,0.0
1,10354688,0.0001678466796875,0.00023651123046875,0.0
1,10485760,0.00014495849609375,0.0003204345703125,0.0
1,10616832,0.00011444091796875,0.000244140625,0.0
1,10747904,0.00014045439570783134,0.0003206184111445783,0.0
1,10878976,0.00014495849609375,0.0002899169921875,0.0
1,11010048,0.0001220703125,0.00023651123046875,0.0
1,11141120,0.0001678466796875,0.0002288818359375,0.0
1,11272192,9.918212890625e-05,0.00023651123046875,0.0
1,11403264,0.0001373291015625,0.00032806396484375,0.0
1,11534336,0.00017547607421875,0.00030517578125,0.0
4,131072,6.866455078125e-05,0.0,0.0
